Coleta,Job_id,Situação,Observação
Farm B,127,Suited,Animal passou correndo
Farm B,128,Intrusion,Animal volta no meio do corredor e aparece os braços da pessoa que está o reconduzingo
Farm B,129,Intrusion,Animal volta no meio do corredor e aparece os braços da pessoa que está o reconduzingo
Farm B,130,Suited,
Farm B,131,Fail,
Farm B,132,Fail,
Farm B,133,Fail,
Farm B,134,Suited,
Farm B,135,Suited,Animal passou correndo
Farm B,136,Suited,Animal passou correndo
Farm B,137,Suited,"Animal volta no meio do corredor, depois segue novamente"
Farm B,138,Suited,Animal passou correndo
Farm B,139,Suited,Animal volta no meio do corredor
Farm B,140,None,Animal volta antes de ficar completo na cena; acredito que o mesmo do job anterior
Farm B,141,Suited,
Farm B,142,Fail,
Farm B,143,Suited,Animal passou correndo
Farm B,144,Suited,
Farm B,145,Suited,
Farm B,146,Suited,Animal passou correndo
Farm B,147,Suited,
Farm B,148,Suited,
Farm B,149,Suited,Animal voltando; o mesmo do job anterior
Farm B,150,Suited,
Farm B,151,Fail,
Farm B,152,Fail,
Farm B,153,Suited,
Farm B,154,Suited,
Farm B,155,Suited,
Farm B,156,Suited,
Farm B,157,Suited,
Farm B,158,Suited,
Farm B,159,Suited,
Farm B,160,Jumping,"O animal pulo no final do corredor; na vdd, da área em que a camera captura"
Farm B,161,Suited,
Farm B,162,Fail,
Farm B,163,Suited,
Farm B,164,Suited,
Farm B,165,Suited,
Farm B,166,Suited,
Farm B,167,Suited,
Farm B,168,Suited,
Farm B,169,Suited,
Farm B,170,Suited,Animal passou correndo
Farm B,171,Fail,
Farm B,172,Intrusion,Nos últimos frames aparece os braços de alguém
Farm B,173,Suited,
Farm B,174,Suited,O animal faz um retorno no meio do corredor
Farm B,175,Suited,O animal passou correndo
Farm B,176,Intrusion,Nos últimos frames aparece os braços de alguém
Farm B,177,Suited,
Farm B,178,Suited,
Farm B,179,Suited,
Farm B,180,Fail,
Farm B,181,Fail,
Farm B,182,Suited,
Farm B,183,Suited,O animal passou correndo
Farm B,184,Suited,
Farm B,185,Suited,
Farm B,186,Suited,O animal passou correndo
Farm B,187,Suited,O animal fez um retorno no meio do caminho
Farm B,188,Suited,
Farm B,189,Suited,O animal passou correndo
Farm B,190,Fail,
Farm B,191,Fail,
Farm B,192,Suited,
Farm B,193,Suited,
Farm B,194,Suited,O animal passou correndo
Farm B,195,Suited,O animal passou correndo
Farm B,196,Suited,O animal fez um retorno no meio do caminho
Farm B,197,Suited,
Farm B,198,Suited,
Farm B,199,Suited,
Farm B,200,Fail,
Farm B,201,Fail,
Farm B,202,Suited,
Farm B,203,Suited,
Farm B,204,Suited,O animal fez um retorno no meio do caminho
Farm B,205,Suited,
Farm B,206,Suited,
Farm B,207,Fail,
Farm B,208,Suited,
Farm B,209,Suited,O animal fez um retorno no meio do caminho
Farm B,210,Suited,O animal passou correndo
Farm B,211,Fail,
Farm B,212,Fail,
Farm B,213,Suited,
Farm B,214,Suited,
Farm B,215,Suited,O animal passou correndo
Farm B,216,Suited,O animal passou correndo
Farm B,217,Suited,O animal passou correndo
Farm B,218,Suited,O animal passou correndo
Farm B,219,Suited,
Farm B,220,Suited,
Farm B,221,Suited,O animal fez um retorno no meio do caminho
Farm B,222,Suited,Obs: parece que tem uma imagem de um animal diferente na pasta
Farm B,223,Suited,
Farm B,224,Suited,
Farm B,225,Suited,O animal passou correndo
Farm B,226,None,
Farm B,227,Fail,
Farm B,228,Fail,
Farm B,229,Fail,
Farm B,230,Fail,
Farm B,231,Fail,
Farm B,232,Fail,
Farm B,233,Fail,
Farm B,234,Fail,
Farm B,235,Fail,
Farm B,236,Fail,
Farm B,237,Fail,
Farm B,238,Fail,
Farm B,239,Fail,
Farm B,240,Fail,
Farm B,241,Fail,
Farm B,242,Suited,Animal entre de costas
Farm B,243,Suited,
Farm B,244,Suited,
Farm B,245,Suited,Animal passou correndo
Farm B,246,Suited,
Farm B,247,Suited,
Farm B,248,Suited,
Farm B,249,None,
Farm B,250,Suited,
Farm B,251,Suited,
Farm B,252,Suited,
Farm B,253,Suited,Parece que tem um animal pequeno correndo em alguns frames
Farm A,254,Testing,
Farm A,255,Testing,
Farm A,256,Suited,
Farm A,257,Jumping,"Aparentemente, nenhum frame em que ele está rente ao chão"
Farm A,258,Suited,
Farm A,259,None,
Farm A,260,Suited,
Farm A,261,None,O animal refuga no inicio do corredor
Farm A,262,Suited,
Farm A,263,Suited,
Farm A,264,Suited,
Farm A,265,Suited,Animal passou correndo
Farm A,266,Suited,
